theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.4,0.02,14,0.02,0.28,0.23,0.21,0.14,0.12
"(1,1)",0.4,0.02,15,0.02,0.25,0.22,0.23,0.12,0.16
"(1,1)",0.4,0.02,16,0.02,0.24,0.17,0.26,0.14,0.17
"(1,1)",0.4,0.02,17,0.02,0.24,0.12,0.27,0.14,0.21
"(1,1)",0.4,0.02,18,0.02,0.23,0.13,0.24,0.13,0.25
"(1,1)",0.4,0.02,19,0.02,0.21,0.14,0.2,0.13,0.3
"(1,1)",0.4,0.02,20,0.02,0.19,0.15,0.18,0.14,0.32
"(1,1)",0.4,0.02,21,0.02,0.19,0.14,0.18,0.12,0.35
"(1,1)",0.4,0.02,22,0.02,0.18,0.14,0.17,0.11,0.38
"(1,1)",0.4,0.02,23,0.02,0.17,0.15,0.17,0.09,0.4
"(1,1)",0.4,0.02,24,0.02,0.17,0.13,0.19,0.07,0.42
"(1,1)",0.4,0.02,25,0.02,0.17,0.12,0.19,0.04,0.46
"(1,1)",0.4,0.02,26,0.01,0.18,0.11,0.17,0.06,0.47
"(1,1)",0.4,0.02,27,0.01,0.18,0.11,0.16,0.06,0.48
"(1,1)",0.4,0.02,28,0.01,0.18,0.1,0.13,0.1,0.48
"(1,1)",0.4,0.02,29,0.01,0.18,0.1,0.1,0.13,0.48
"(1,1)",0.4,0.02,30,0.01,0.17,0.1,0.11,0.12,0.49
"(1,1)",0.4,0.02,31,0.01,0.15,0.11,0.1,0.11,0.52
"(1,1)",0.4,0.02,32,0.01,0.15,0.11,0.1,0.09,0.54
"(1,1)",0.4,0.02,33,0.01,0.15,0.11,0.09,0.09,0.55
"(1,1)",0.4,0.02,34,0.0,0.16,0.1,0.1,0.06,0.58
"(1,1)",0.4,0.02,35,0.0,0.16,0.09,0.1,0.06,0.59
"(1,1)",0.4,0.02,36,0.0,0.16,0.09,0.09,0.04,0.62
"(1,1)",0.4,0.02,37,0.0,0.16,0.09,0.09,0.01,0.65
"(1,1)",0.4,0.02,38,0.0,0.16,0.09,0.09,0.01,0.65
"(1,1)",0.4,0.02,39,0.0,0.16,0.09,0.09,0.01,0.65
"(1,1)",0.4,0.02,40,0.0,0.14,0.11,0.09,0.01,0.65
"(1,1)",0.4,0.02,41,0.0,0.14,0.11,0.09,0.01,0.65
"(1,1)",0.4,0.02,42,0.0,0.14,0.1,0.1,0.01,0.65
"(1,1)",0.4,0.02,43,0.0,0.14,0.1,0.1,0.01,0.65
"(1,1)",0.4,0.02,44,0.0,0.14,0.07,0.12,0.02,0.65
"(1,1)",0.4,0.02,45,0.0,0.14,0.06,0.11,0.03,0.66
"(1,1)",0.4,0.02,46,0.0,0.14,0.06,0.08,0.06,0.66
"(1,1)",0.4,0.02,47,0.0,0.14,0.06,0.07,0.06,0.67
"(1,1)",0.4,0.02,48,0.0,0.13,0.07,0.06,0.06,0.68
"(1,1)",0.4,0.02,49,0.0,0.13,0.06,0.06,0.04,0.71
"(1,1)",0.4,0.02,50,0.0,0.13,0.06,0.06,0.03,0.72
